name,impressions,clicks,cost,revenue,conversions
몰로코,669597184.0,4948673.0,217428544.00002003,275047106.22515,6801.0
구글AC,34194885.0,130658.0,194563652.999995,246123021.18499202,9449.0
ASA,547619.0,13076.0,70131703.00007,88716603.14012,3470.0
카카오모먼트,104021164.0,173098.0,64702802.0000008,71173080.6999986,478.0
메타,3317203.0,15353.0,36051931.0,45605691.6,300.0
구글SA,284638.0,10966.0,27536330.4974991,34833458.4938,854.0
네이버BS,232451.0,48623.0,25999999.551,28600000.00609999,2012.0
디시인사이드,32786684.0,71758.0,23545000.0,25899500.50025,36.0
네이버페이,7859994.0,541922.0,21428568.0,23571424.8,118.0
애피어,3381239.0,1523838.0,19803879.000000004,21784266.89999999,375.0
GFA,17350763.0,31896.0,18449401.72771,20294342.0,107.0
네이버SA,27325625.0,14636.0,16899590.0,18589549.0,522.0
rtb하우스,5489156.0,1149689.0,14428218.999999985,15871040.200000001,517.0
GDN,18230627.0,21902.0,13277514.9999992,16796056.2800008,13.0
버즈빌,2533699.0,2313693.0,12161737.999999993,13377911.499999996,182.0
OK,2028613.0,1842582.0,7272734.0,8000007.000011,24.0
리머지,4549696.0,96191.0,6904749.000002,8734507.654987,173.0
카울리,4287297.0,82475.0,6284307.0,6912737.7,1.0
타불라,3724473.0,28233.0,6015832.000005,7610027.915008,6.0
더리치,577458.0,5249.0,4553571.00000001,5008928.499999991,5.0
네이버SA_파워컨텐츠,1503058.0,4904.0,3112050.0,3936742.75,44.0
토스,921905.0,2055.0,1482550.0,1630805.0,0.0
유애피,449907.0,10347.0,1196899.999992,1514078.620002,17.0
카카오SA,287791.0,543.0,180800.0,198880.0,0.0
군돌이,0.0,0.0,0.0,0.0,4.0
KB페이,0.0,0.0,0.0,0.0,0.0
블라인드,0.0,0.0,0.0,0.0,0.0
밀리패스,0.0,0.0,0.0,0.0,0.0
인베스팅,0.0,1046.0,0.0,0.0,0.0
크리테오,9.0,7.0,0.0,0.0,0.0
